Cruise,CTD_Index,Station,Station_ID,Sampling_date_UTC,Sampling_time_UTC,Sample_code,Latitude,Longitude,Depth_m,ML,Temp,Sal,Tchla,Diatoms,Phaeocystis,Coccolithophores,Dinoflagellates,Cryptophytes,Pelagophytes,Prasinophytes,Chlorophytes,Synechococcus,Prochlorococcus,Chl_c3,Chl_c1c2,Chlide_a,Peri,Phorb_a,But,Fuco,Neo,Pras,Violax,Hex,Diadino,Antherax,Allox,Diato,Zea,Lutein,Bactchl_a,Chl_b,TChl_b,DVChl_a,Chl_a,TChl_a,Phytin_a,Carotenes,Bchla_Chla,Sum_Phaeo,Phorb_Phaeo,Phytin_Phaeo,DDT,FH,DDT_FH,DDT_Chla,Phaeo_Chla,Chlidea_Chla,Nitrate,Nitrate_T,Phosphate,Silica,N_P,Si_N,Si_P,N_star,Si_star,Tchla_F,POC,PON,dFe_SUN,dFe,pFe,dMn,pMn,Lco,dCo,pCo,dZn,pZn,dCd,pCd,dNi,pNi,Lcu,dCu,pCu,P,pAl,%pFe_lith,%pMn_lith,%pCo_lith,%pZn_lith,%pCd_lith,%pNi_lith,%pCu_lith,pFe_lith,pMn_lith,pCo_lith,pZn_lith,pCd_lith,pNi_lith,pCu_lith,pFe_T,pMn_T,pCo_T,pZn_T,pCd_T,pNi_T,pCu_T,Station_lbl,Zone
Winter2017,41,IO08,8,10/07/2017,22:38:00,8_Pig-1,-41.0,30.0,10,IN,18.01598,35.5858,0.2179,0.016186439,0.088597648,0.020510213,0.003714446,0.0291104,0.002860109,0.007760227,0.0,0.024260512,0.024900001,0.0128,0.0206,0.0,0.0024,0.0089,0.0163,0.0073,0.0,0.0053,0.0007,0.0254,0.0033,0,0.0068,0.0,0.0125,0.0,0.0,0.0403,0.0403,0.0249,0.193,0.2179,0.0026,0.0068,0.0,0.0115,0.773913043,0.226086957,0.0033,0.0327,0.100917431,0.017098446,0.059585492,0.0,2.288129417,2.553537737,0.222426471,2.92467363,11.48036801,1.145341848,13.14894591,-1.270694113,0.636544213,0.48,5.855909898,0.80717541,0.13,0.097560976,0.14320139780149999,0.96,0.0641357661114,16.03,14.43,2.26169807312905,0.249237553,0.013696355192150001,9.209457747,5.639129847376805,1.985703297,16.3203906885469,0.587212748,0.69,18.0243952981137,15.1167707,1.488623195,70.71597355178028,18.035174571682514,0.013820043961825958,15.049830999383417,2.6398094073402507e-05,0.005290043573483758,0.0028079592460772754,0.3458071681985,0.014112147888600001,0.00031261087095,0.0024264558078499997,1.4886231949999998e-06,0.0008634014531,0.0005061318863,0.489008566,0.078247914,2.262010684,0.016122811,5.639131336,16.32125409,18.02490143,St. 41.0°S,STZ
Winter2017,43,IO08,8,10/07/2017,22:38:00,8_Pig-3,-41.0,30.0,50,IN,18.0255,35.586,0.2616,0.02599347,0.074870422,0.033073209,0.004643006,0.038099963,0.004940372,0.009571509,0.0,0.041208051,0.029200001,0.0183,0.0266,0.0,0.003,0.0109,0.0243,0.0111,0.0,0.0067,0.0009,0.0338,0.0046,0,0.0089,0.0,0.0175,0.0,0.0003,0.0472,0.0472,0.0292,0.2324,0.2616,0.0033,0.0095,0.001290878,0.0142,0.767605634,0.232394366,0.0046,0.0449,0.102449889,0.01979346,0.061101549,0.0,2.116949455,2.411248376,0.217830882,2.88436457,11.06935964,1.196212136,13.24130233,-1.368344663,0.767415115,0.61,4.254832273,0.61258848,0.12,0.111219512,,0.98,,15.38,14.68,,0.18,,8.848474886,,1.983239578,,0.628084104,0.74,,,,,,,,,,,,,,,,,,,,,,,,,St. 41.0°S,STZ
Winter2017,44,IO08,8,10/07/2017,22:38:00,8_Pig-4,-41.0,30.0,75,IN,18.028,35.586,0.2836,0.028343637,0.080377012,0.035396639,0.00526215,0.03938473,0.004279263,0.013451195,0.0,0.044705376,0.032400001,0.0198,0.0285,0.0,0.0034,0.0145,0.0259,0.0123,0.0,0.0073,0.0012,0.0362,0.0048,0,0.0092,0.0,0.0192,0.0,0.0003,0.0588,0.0588,0.0324,0.2512,0.2836,0.0037,0.0101,0.001194268,0.0182,0.796703297,0.203296703,0.0048,0.0485,0.098969072,0.01910828,0.072452229,0.0,2.875022088,3.161616849,0.186727941,2.90297525,16.93167519,0.91819325,15.54654987,-0.112624971,0.027953162,0.55,5.137316003,0.63420925,0.11,0.157073171,0.15987862007479997,1.01,0.07418728311248,16.51,15.71,3.5635469775499597,0.156349698,0.01868555312588,9.065151273,6.998330926045476,2.033599877,20.02692961637608,0.634908908,0.65,22.80949308546184,17.72816331,1.934954524,73.76323105276866,19.824099896669917,0.011401396533106891,14.441592921349173,2.7648792397158316e-05,0.005603508669159933,0.002884174414387929,0.4494899359252,0.01834336888752,0.00040634045004,0.0031539758741199997,1.934954524e-06,0.0011222736239199999,0.00065788453816,0.609368556,0.092530652,3.563953318,0.021839529,6.998332861,20.02805189,22.81015097,St. 41.0°S,STZ
Winter2017,45,IO08,8,10/07/2017,22:38:00,8_Pig-5,-41.0,30.0,100,IN,17.9958,35.5824,0.2792,0.030068781,0.059075166,0.038151305,0.005108203,0.038107481,0.010758884,0.011717731,0.0,0.053312458,0.0317,0.021,0.0276,0.0013,0.0033,0.0116,0.0278,0.0131,0.0,0.0071,0.0013,0.0361,0.005,0,0.0089,0.0,0.0209,0.0,0.0003,0.0545,0.0545,0.0317,0.2463,0.2792,0.0029,0.0108,0.001218027,0.0145,0.8,0.2,0.005,0.0492,0.101626016,0.020300447,0.058871295,0.005278116,2.893658774,3.139472333,0.2132,2.93845547,14.72547999,0.935971131,13.78262416,-0.517541226,0.044796696,0.5,4.273742638,0.68285598,0.14,0.181463415,0.09954639501679996,1.03,0.09288339043168001,16.66,17.6,4.78008174381336,0.200478368,0.027386507456080005,14.19352022,10.927526511861016,2.144273795,,0.647613804,0.69,27.37841287274544,27.83445581,2.488138984,85.30769604849982,20.25188081092978,0.01092977286944651,12.898810826248845,2.276945669968023e-05,,0.0030898106464594135,0.5779946859832,0.02358755756832,0.00052250918664,0.00405566654392,2.488138984e-06,0.00144312061072,0.00084596725456,0.677541081,0.116470948,4.780604253,0.031442174,10.927529,,27.37925884,St. 41.0°S,STZ
Winter2017,46,IO08,8,10/07/2017,22:38:00,8_Pig-6,-41.0,30.0,150,BELOW,17.2413,35.5478,0.0331,0.005372608,0.008108469,0.005929324,0.0,0.002140356,0.001781117,0.001143339,0.004756443,0.003868345,0.0,0.0032,0.003,0.0,0.0,0.0045,0.0043,0.0022,0.0,0.0008,0.0002,0.0055,0.0008,0,0.0005,0.0,0.001,0.0004,0.0,0.0055,0.0055,0.0,0.0331,0.0331,0.0013,0.0009,0.0,0.0058,0.775862069,0.224137931,0.0008,0.0077,0.103896104,0.024169184,0.175226586,0.0,4.316361879,4.321754791,0.314338235,3.87113213,13.74874039,0.895731553,12.31518058,-0.713049886,-0.445229749,0.06,3.952266423,0.493674245,0.29,0.381463415,0.18604395920259992,0.52,0.15069771186776,20.2,22.82,1.3958430470730199,0.329599511,0.01883565128106,47.85,1.488173507686062,2.196479129,18.12812983791596,0.56463192,0.58,16.78945374326108,4.809406441,2.093313938,72.32809652773685,11.636182269213544,0.03148330527374464,15.336837472710165,0.00014066310028153727,0.006696999553424547,0.0042389501175059,0.48627682779740006,0.019844616132240003,0.00043959592698,0.00341210171894,2.093313938e-06,0.00121412208404,0.00071172673892,0.672320787,0.170542328,1.396282643,0.022247753,1.488175601,18.12934396,16.79016547,St. 41.0°S,STZ
Winter2017,35,IO07,7,10/07/2017,08:56:00,7_Pig-1,-42.99,30.0,10,IN,10.52692,34.5809,0.2757,0.009085213,0.064354065,0.001781017,0.011763465,0.010462272,0.033723303,0.087185855,0.008038819,0.049306002,0.0,0.0272,0.0296,0.0,0.0055,0.0097,0.0318,0.0172,0.0064,0.0098,0.0021,0.0694,0.0079,0,0.0024,0.0,0.0057,0.0023,0.0,0.0609,0.0609,0.0,0.2757,0.2757,0.0042,0.0059,0.0,0.0139,0.697841727,0.302158273,0.0079,0.0866,0.091224018,0.028654334,0.05041712,0.0,7.067730956,7.37,0.67,1.48,11.0,0.200814111,2.208955224,-3.652269044,-5.587730956,0.31,6.278241398,0.87203772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. 43.0°S,SAZ
Winter2017,36,IO07,7,10/07/2017,08:56:00,7_Pig-2,-42.99,30.0,25,IN,10.5484,34.584,0.2232,0.034858763,0.032621837,0.01025991,0.012520599,0.006316457,0.021625709,0.053962434,0.023846091,0.027188185,0.0,0.0223,0.0236,0.0,0.0059,0.0079,0.0195,0.0123,0.0037,0.0076,0.0012,0.0459,0.0051,0,0.0015,0.0,0.0036,0.0019,0.0,0.0476,0.0476,0.0,0.2232,0.2232,0.0028,0.0035,0.0,0.0107,0.738317757,0.261682243,0.0051,0.0582,0.087628866,0.022849462,0.047939068,0.0,8.139902755,8.43,0.631205674,1.65,13.35539326,0.195729537,2.614044944,-1.959388025,-6.489902755,0.29,4.790625966,0.726097525,0.15,0.104390244,0.14444375852739996,0.42,0.01850810788024,13.7,14.1,2.81623225129798,0.64,0.02730171793194,34.02632779,12.848908067349038,3.513770395,22.91676516244204,0.575727361,0.59,27.19137031867292,24.17726439,0.962650962,60.75618512646117,33.02423912682472,0.007177752886620749,5.434968717258268,7.492083255880907e-06,0.0024363122419596693,0.001203681107571834,0.22362381847260002,0.00912593111976,0.00020215670202000001,0.0015691210680599998,9.62650962e-07,0.00055833755796,0.00032730132708,0.368067577,0.027634039,2.816434408,0.028870839,12.84890903,22.9173235,27.19169762,St. 43.0°S,SAZ
Winter2017,37,IO07,7,10/07/2017,08:56:00,7_Pig-3,-42.99,30.0,50,IN,10.5486,34.5832,0.2757,0.025355401,0.053843091,0.007539978,0.013226293,0.008609364,0.030289335,0.082742968,0.01478553,0.03930804,0.0,0.0279,0.0298,0.0,0.0062,0.0093,0.0282,0.0168,0.006,0.0098,0.0018,0.0649,0.0068,0,0.002,0.0,0.0048,0.0024,0.0,0.0613,0.0613,0.0,0.2757,0.2757,0.0047,0.0047,0.0,0.014,0.664285714,0.335714286,0.0068,0.0817,0.083231334,0.02466449,0.050779833,0.0,9.72753639,10.14325762,0.627659574,2.248295494,16.16044435,0.221654184,3.582030109,-0.315016801,-7.479240897,0.46,4.721287959,0.70447675,0.12,0.104390244,,0.42,,13.03,14.26,,0.682499161,,33.93538833,,3.624606528,,0.592848745,0.66,,,,,,,,,,,,,,,,,,,,,,,,,St. 43.0°S,SAZ
Winter2017,38,IO07,7,10/07/2017,08:56:00,7_Pig-4,-42.99,30.0,75,IN,10.5543,34.5838,0.26,0.030281353,0.052035746,0.004020435,0.014114616,0.008360831,0.026962979,0.071238472,0.014054591,0.038930972,0.0,0.0238,0.0277,0.0,0.0066,0.0086,0.0257,0.0166,0.0051,0.0091,0.0018,0.0588,0.0065,0,0.0019,0.0,0.0047,0.0021,0.0,0.0532,0.0532,0.0,0.26,0.26,0.0007,0.0047,0.0,0.0093,0.924731183,0.075268817,0.0065,0.0754,0.086206897,0.025,0.035769231,0.0,10.37554115,10.78923645,0.697695035,2.270735741,15.46411527,0.210463062,3.254625052,-0.787579417,-8.104805409,0.4,4.702377593,0.709881945,0.16,0.150243902,0.11904270899270003,0.43,0.01759781990052,13.57,15.43,2.8019471377572898,0.29,0.02803138802087,37.30556715,12.03204898826075,3.601799968,22.22981572123442,0.578206235,0.61,22.598228078654657,21.90149886,1.101739251,68.25330820650348,37.24546531433861,0.008256620428081273,6.020791741591229,9.156704325189524e-06,0.002874474559072593,0.0016575863154462906,0.2559340280073,0.01044448809948,0.00023136524271,0.0017958349791299998,1.101739251e-06,0.0006390087655799999,0.00037459134534,0.374976737,0.028042308,2.802178503,0.029827223,12.03205009,22.23045473,22.59860267,St. 43.0°S,SAZ
Winter2017,39,IO07,7,10/07/2017,08:56:00,7_Pig-5,-42.99,30.0,100,IN,10.6011,34.598,0.223,0.041788624,0.032321051,0.007588416,0.011522811,0.006454821,0.0206692,0.052247446,0.021433258,0.02897438,0.0,0.0197,0.0218,0.0,0.0054,0.0079,0.0187,0.0116,0.0038,0.0067,0.0011,0.0423,0.0048,0,0.0015,0.0,0.0037,0.0021,0.0,0.0443,0.0443,0.0,0.223,0.223,0.003,0.0038,0.0,0.0109,0.724770642,0.275229358,0.0048,0.0539,0.089053803,0.021524664,0.048878924,0.0,11.14596434,11.43,0.697695035,2.27,16.38251588,0.198600175,3.253570521,-0.017156224,-8.875964344,0.55,9.259775717,1.331479085,0.13,0.105365854,0.17805419102659997,0.44,0.024185346450159996,13.7,13.88,3.72214293273782,1.32190313,0.09556810715546,39.40063547,14.906450523374943,3.543441917,31.970393197466358,0.565846134,0.6,35.86408238748028,30.36226119,1.436625058,65.20899050223304,36.0253060262161,0.008104654136018116,2.3916898012646453,9.637605661327338e-06,0.002606226367961629,0.0013619360507591118,0.3337280009734,0.01361920554984,0.00030169126218,0.0023416988445399997,1.436625058e-06,0.00083324253364,0.00048845251972,0.511782192,0.037804552,3.722444624,0.097909806,14.90645196,31.97122644,35.86457084,St. 43.0°S,SAZ
